"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/cougarbite/recommended/405440/","cougarbite","CougarBite","http://steamcommunity.com/id/cougarbite/","144 products in account","Top down shooter that plays terribly with twin sticks, putting that aside, handles very well with mouse and keyboard.\n\nRandomly generate levels, with 9+ level that change the amount of enemies to kill as you go through offering a progressive skill curve, but they game is also based on level ups and spending points in abilities and this also adds in as some parts of the game can not be beaten by skill alone. Example: moving out of the way of the wider projectiles is impossible without certain speed level ups. So if you are happy to join a smashing your head against a wall from time to time until you have enough experience to past then you should like this game.\n\nSome pacing issues I found: Shield takes a while to reload outside of battle meaning waiting between rooms for it to reload is artificially making the game seem slower then it should be.\n\nWeapons having to "reload" each time you switch also takes away possible skill elements to the game as well.\n\nSolid enough nothing genre changing at all. Recommend to people who seen videos of the game play and like it. Looking for the new genre or to be on the start of something "early" then not for you.\n\nRest in video:\nhttps://youtu.be/1E04LutoIQo","March 11","true","2.7"," 8 of 11 people (73%) found this review helpful","73","8","11","0","0"
"http://steamcommunity.com/profiles/76561198261380938/recommended/405440/","76561198261380938","downtimedistractions","http://steamcommunity.com/profiles/76561198261380938/","74 products in account","If you are a real fan of the "top-down rogue-light shooters" this may entertain you for a few hours.\nIt is nothing ground breaking, and it has its flaws, but the combat is fun and satisfying.\n\nIf you are looking into getting into this genre, perhaps looking at another more well rounded title would be better.\nPlease watch my video to get more of an idea on if purchasing this title is for you.\n\nhttps://www.youtube.com/watch?v=ndz50qVw3xE","March 12","true","7.6"," 11 of 17 people (65%) found this review helpful","65","11","17","0","0"
"http://steamcommunity.com/profiles/76561198090472882/recommended/405440/","76561198090472882","Indie Gaming Corner","http://steamcommunity.com/profiles/76561198090472882/","47 products in account","After 2 hours with Ares Omega I felt like i'd experienced everything it had to offer, in fact after an hour i'd felt like this so what is my recommendation for you guys? well, there's nothing here to persuade someone who doesn't already like top down shooter and for those who do enjoy them, well there's nothing about Ares Omega that sets it apart from crowd so i would leave this one alone. I'm sure there are better games, even within the same price range. I only paid just under £7 for it and still feel like I didn't quite get my money's worth.\n\n","March 23","false","2.2"," 3 of 6 people (50%) found this review helpful 1 person found this review funny","50","3","6","0","0"
"http://steamcommunity.com/id/FiauraTheTankGirlGamer/recommended/405440/","FiauraTheTankGirlGamer","Fiaura The Tank Girl","http://steamcommunity.com/id/FiauraTheTankGirlGamer/","244 products in account","It is somewhat interesting but it isn't a game changer and if you aren't already interested in top down shooters, pass this one up.  Otherwise, you might find some enjoyment out of the top down shooter but not a terrible amount.\n\nPros:\nIt does what it says it does\nThe gameplay is solid at least\nThe weapons all have a slightly different feel to them, if only slightly\nYou keep your progress when you die so leaving the game is just a matter of suicide\nVirtually any system can run this\n\nCons:\nPistols feel useless - Dev Defended this....it's still a useless weapon to take.\nYour soldier even upgraded moves too slow to dodge the fire\nYou do not automatically reload when out of ammo - This has been changed since I did the review\nDespite holding down the trigger, sometimes randomly stop firing your gun even if it has ammo\nGrenades are not only hard to aim but hard to time and not really worth the end all be all they should be for the effort\nNothing special here at all\nDeath doesn't matter much to you, at all taking away some of the challenge, sometimes you actually want to die to just level up or get it over with\nGraphics and Art are uninspired and pretty drab, even for a lower bit game\n\nOverall Score: 2.9/5\nRage Factor: 0.5/5 (I got Almost No Emotional Response playing this game at all)\n\nVideo Review:\nhttps://www.youtube.com/watch?v=TWJ-Gq332C0","March 12","false","0.7"," 4 of 10 people (40%) found this review helpful 1 person found this review funny","40","4","10","0","0"
"http://steamcommunity.com/id/jrh3k5/recommended/405440/","jrh3k5","Crispy Tacos","http://steamcommunity.com/id/jrh3k5/","626 products in account","I don't know if this game is intended for screens other than TVs, but the lack of an aiming reticle when using a controller makes it nearly impossible to aim your weapons properly. This means that any enemy of any remote difficulty is a death sentence.","June 4","false","0.1"," No ratings yet","0","0","0","0","0"
