"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/Verdantil/recommended/391210/","Verdantil","Verdantil","http://steamcommunity.com/id/Verdantil/","4283 products in account","Okay so you control a ball around using WASD and you have to knock energy arrow heads with your energy baseball bats into energy fields at the arena`s corners and then collect little stars for points... Its kind of arcade-like. You do not die right away when hit, and whatnot so its not too unforgiving. Seems like the kind of little gimmicky game you would see in a dive bar. I really like the daft-punk ish electronic music, and i did struggle a bit wielding my lightsaber thing using kb+m. Maybe a gamepad would fare better. Overall if you are into little arcade casual games you can mess with for a short time this one might be worth a pick on the cheap. Music is really great","September 27, 2015","true","3.8"," 9 of 12 people (75%) found this review helpful 2 people found this review funny","75","9","12","2","0"
"http://steamcommunity.com/profiles/76561197988193785/recommended/391210/","76561197988193785","zenorf","http://steamcommunity.com/profiles/76561197988193785/","55 products in account","I first played this game at an expo event last year. It's come a long way since that version but the core element of the fun is still the same.\n\nGameplay is fast and a little crazy in a good way. It's a nice twist on the usual twin stick shooter outfit. I personally liked the boss battle levels the best. It's not a large game, but a lot of the fun comes from playing it with friends and just messing about. Also, if you're a high score junkie you'll love trying to scrape a few extra points in each level so there's some replay value.\n\nThe overall production qaulity is nice and the graphics are geometry wars style glowing prettyness. Music is good quality but is deliberately a feature and as such is in your face/ears. So it could be irritating for some people. On the other hand it's good to just listen to and appreciate.\n\nOnly other negative thing I could say about the experience was that my right thumb got sore swinging the sword around but I can't really blame the game for that. Overall though, definitely a fun way to spend half an hour now and then.\n\n","January 7","true","1.0"," 2 of 2 people (100%) found this review helpful 1 person found this review funny","100","2","2","0","0"
"http://steamcommunity.com/id/Playdis/recommended/391210/","Playdis","PlayDis","http://steamcommunity.com/id/Playdis/","442 products in account","Nice casual arcade game. Kinda like Asteroids with a sword and you gotta hit things into a certain area. Just move around and swing your mouse like crazy. So much satisfaction when you get the Grow powerup and hit everything with one swing :) If you're mad, great stress reliever. You can also change the speed\nProblems naming first player, too many extra letters to choose from.","March 4","true","3.2"," 1 person found this review helpful","0","1","1","0","0"
"http://steamcommunity.com/id/apthen/recommended/391210/","apthen","Apthen","http://steamcommunity.com/id/apthen/","1545 products in account","Arclight Cascade is a solid and challenging arcade game.\nThe gameplay is simple. You smash your enemies into the right direction with the help of a laser sword.\nNot the kind of star wars lightsaber, but you get the idea ;-)\n\nThe graphic and effects are great for an indie game. The sound - elektro and chiptune - is sometimes too annoying. Some nice tracks, but some which are too annoying if you're not into the genre.\nThere is a singleplayer survival mode which can get challenging.\nYou can set the difficulty for the arcade mode and adjust the settings, so everything works fine.\n\nI got this game out of a bundle. The steam price of 6,99€ is a bit too high in my opinion.\nThe developers are active and looks like they are continousely improving their game.\n\nBut let's not forget that it's an arcade game. So if you don't like those games, you won't start loving it now.\nIf you like the idea of the game, feel free to get it :-)\n","October 21, 2015","true","4.0"," 1 of 2 people (50%) found this review helpful 1 person found this review funny","50","1","2","0","0"
"http://steamcommunity.com/profiles/76561198259446396/recommended/391210/","76561198259446396","ove?r?vishiros","http://steamcommunity.com/profiles/76561198259446396/","5 products in account","Umm. Its okay","December 2, 2015","true","0.1"," 1 of 3 people (33%) found this review helpful 1 person found this review funny","33","1","3","0","0"
"http://steamcommunity.com/id/wildsaf/recommended/391210/","wildsaf","wildsaf","http://steamcommunity.com/id/wildsaf/","313 products in account","Great fun, it feels a like Starwhal  meets two-stick shooter without the ridiculous physics. Really good as a local multiplayer game with 4 gamepads. Graphics and music are good too.","March 31","true","3.6"," No ratings yet","0","0","0","0","0"
