"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/profiles/76561198267824823/recommended/485270/","76561198267824823","[ k ø r p ]","http://steamcommunity.com/profiles/76561198267824823/","68 products in account","I was intrigued by the addition of CBT with VR to overcome phobias.\nRegarding this adaption, I was left a bit underwhelmed. I was expecting more levels of spiders and to see them gradually start crawling on my arms and over my face all while trying to remain calm.\nI think with further development and graphic enhancement, there really is something for science here. I encourage the developpers to continue working with this concept.","June 4","false","0.1"," 6 of 9 people (67%) found this review helpful","67","6","9","0","1"
"http://steamcommunity.com/profiles/76561197971688585/recommended/485270/","76561197971688585","Falcon 5","http://steamcommunity.com/profiles/76561197971688585/","31 products in account","Underwhelming. Apparently low effort application.\n\nPlayed this on the HTC Vive, and first of all, the sense of scale on the model which is supposed to be "you" is like, some shunken malformed guy. Besides that, getting my head centered on this weird maniquin of myself was a needlessly inconvieniet. I had to swivel around in my chair, and move to the center of my playspace to get the chaparone lines to disappear. Then I had to take my headset off my head, hold it in the air with my hand behind me where I eventually wanted to be playing, while reaching back behind me to my computer to hit F12 to recenter. Just recentering doesn't help, because recentering doesn't actually rotate the camera. So, not only is it a spider phobia simulator, it's also a broken neck simulator if your setup isn't facing the way the application expects to begin with.\n\nJokes aside... this application was clearly designed for the Rift, and shoe-horned onto the Vive. You look at a piece of paper to get more or less spiders in the scene. There are 5 levels of spiders. Each level adds more spiders. If you can stand the mere sight of essentially immoble spiders placed around the room, then congratulations--you're *cough* "cured?" The spiders never touch you, never bite you, never move aggressivly towards you. Real spiders skitter my friends. Real spiders will crawl on you, and leave nasty red bite marks on you if you let them--and they're the right species.\n\nThe room which the application takes place in is a high-rise building overlooking Central Park in New York. The ambiant sound is frequently punctuated with the sounds of honking cars. I guess this game's target audience is squeemish city dwellers? Perhap the honking were meant to add stress and unnerve you in combination with the spiders... I have no idea. I just found it annoying.\n\nBottom line, if this application were free, I wouldn't be complaining. But I'm sorry to say, that was $4.99 down the toilet.","June 4","false","0.2"," 4 of 6 people (67%) found this review helpful","67","4","6","0","1"
"http://steamcommunity.com/profiles/76561198279911407/recommended/485270/","76561198279911407","cylu","http://steamcommunity.com/profiles/76561198279911407/","2 products in account","One of the things I really like about this experience is that I have the choice to set the pace and intensity myself. You can make it as scary as you want and only go up a level when you feel you are ready for it.\n\nI 'm a - almost graduated - psychologist and I have to say that I like the quality of this experience because of the responsibility you have yourself during the construction of the exposure.\n\nBecause it felt so real to me, I really believe that it reflects an intense experience .\n\nWell done :)","June 6","true","0.3"," 2 of 3 people (67%) found this review helpful","67","2","3","0","0"
