"url","reviewerUsername","reviewerDisplayName","reviewerUrl","reviewerProductsCount","reviewText","date","recommended","hoursPlayed","voteText","helpfulPercent","votesHelpful","votesTotal","votesFunny","commentsCount"
"http://steamcommunity.com/id/KuroTenshi1993/recommended/435050/","KuroTenshi1993","KurosPassions","http://steamcommunity.com/id/KuroTenshi1993/","220 products in account","Early Access Review\n\nits just starting off so it needs work but the idea is great i like it but a few problems in performance  hope for more updates too improve the gameplay","February 20","true","0.2"," 6 of 9 people (67%) found this review helpful","67","6","9","0","0"
"http://steamcommunity.com/profiles/76561198119056900/recommended/435050/","76561198119056900","austin1997connors","http://steamcommunity.com/profiles/76561198119056900/","65 products in account","Early Access Review\n\nIts a fun game still verry early and needs a lot of work but the concept is good and i look foward to seeing how this developes. BUT However it seems to suffer from a lack of content and can be bugy but that is understandable in early acsess. so at this time i cannot recomend this game.","February 20","false","0.5"," 3 of 6 people (50%) found this review helpful","50","3","6","0","0"
"http://steamcommunity.com/id/mbto/recommended/435050/","mbto","Magic Banana Toaster Oven","http://steamcommunity.com/id/mbto/","63 products in account","Early Access Review\n\nCant really recommend it in its current stage because of horrible performance and it is unfinished, but it has potential.","February 19","false","0.6"," 12 of 27 people (44%) found this review helpful 1 person found this review funny","44","12","27","0","0"
